BIL,NEGERI,NAMA SYARIKAT,ALAMAT TETAP (SURAT MENYURAT),ALAMAT TEMPAT BERNIAGA,NO.TELEFON BIMBIT / EMEL,TARIKH SIJIL PENGIKTIRAFAN BESS,TARIKH TAMAT PENGIKTIRAFAN BESS,NO. SIRI BESS
54,WP KUALA LUMPUR & PUTRAJAYA,DELICIOUS BARBEQUE SDN BHD,"NO 18B, JALAN PP 2/2, TAMAN PUTRA PRIMA, PUCHONG, 47100 PETALING, SELANGOR","LOT LG1-14B, LALAPORT BUKIT BINTANG, JALAN HANG TUAH PUDU, KUALA LUMPUR, 55100 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6012-6097385,25/09/2025,24/09/2028,BeW0625023-0/1
55,WP KUALA LUMPUR & PUTRAJAYA,JUBILEE YEAR ENTERPRISE,"KOMUNE LIVING & WELLNESS, NO. 21, JALAN TASIK PERMAISURI 2, BANDAT TUN RAZAK, KUALA LUMPUR, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR","KOMUNE LIVING & WELLNESS, NO. 21, JALAN TASIK PERMAISURI 2, BANDAR TUN RAZAK, KUALA LUMPUR, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-6788097,25/09/2025,24/09/2028,BeW0625052-0/1
56,WP KUALA LUMPUR & PUTRAJAYA,JIBBYNCO SDN BHD,"NO. 22, 24 & 26, JALAN JEMUJU EMPAT
16/13D, SEKSYEN 16, SHAH ALAM, 40000 PETALING, SELANGOR","KLGCC RESORT, THE INTERNATIONAL GALLERY, NO. 2A, JALAN BUKIT KIARA 1, BUKIT KIARA, KUALA LUMPUR, 60000 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",6010-2503030,25/09/2025,24/09/2028,BeW0725049-0/1
57,WP KUALA LUMPUR & PUTRAJAYA,RESTORAN INDIA GATE SDN.BHD,"NO 2-G JALAN PUTERI 1/5 BANDAR PUTERI 47100 PUCHONG SELANGOR, BANDAR PUTERI,
47100 PETALING, SELANGOR","NO.2, 1.14.00, LEVEL 1, PAVILION BUKIT JALIL, PERSIARAN JALIL 8, BANDAR BUKIT JALIL, 57000 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-4081558,25/09/2025,24/09/2028,BeW0525074-0/1
58,WP KUALA LUMPUR & PUTRAJAYA,BERJAYA STARBUCKS COFFEE COMPANY SDN BHD,"LOT 10-04, LEVEL 10, WEST WING,BERJAYA TIMES SQUARE, NO.1,JALAN IMBI, IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","RETAIL LOT 6, GROUND FLOOR, BLOCK A, PANTAI MEDICAL CENTRE, 8, JALAN BUKIT PANTAI, KUALA LUMPUR, 59100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR",qualityassurance@ starbucks.com.my,25/09/2025,24/09/2028,BeW0725003-0/1
59,WP KUALA LUMPUR & PUTRAJAYA,SAVEUR CONSULTING SDN BHD,"27B JALAN SRI HARTAMAS 18, KUALA LUMPUR, 50480 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","LG, 21 JALAN TASIK PERMAISURI 2, BANDAR TUN RAZAK, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",6010-2815155,25/09/2025,24/09/2028,BeW0825052-0/1
60,WP KUALA LUMPUR & PUTRAJAYA,SAJIAN RHU SDN BHD,"6-2 JALAN DWITASIK, DATARAN DWITASIK, BANDAR SRI PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR","NO.30, GROUND FLOOR, JLN DAMAI RAYA 2, ALAM DAMAI, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",6016-6202088,25/09/2025,24/09/2028,BeW0725089-0/1
61,WP KUALA LUMPUR & PUTRAJAYA,NBR RICH EMPIRE,"LOT-G008,FOOD COURT, SELERA PUTRA, SOUQ PUTRAJAYA, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT-G008, FOOD COURT, SELERA PUTRA, PRESINT 1, SOUQ PUTRAJAYA, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6017-9109286,25/09/2025,24/09/2028,BeW0625068-0/1
62,WP KUALA LUMPUR & PUTRAJAYA,MBG FRUITS SDN BHD,"NO 8, LORONG TEKNOLOGI B, NOUVELLE INDUSTRIAL PARK, TAMAN SAINS SELANGOR 1, PJU5, KOTA DAMANSARA, PETALING JAYA, 47810 PETALING, SELANGOR","RETAIL LOT 1, GROUND FLOOR OF BLOCK A, PANTAI HOSPITAL KUALA LUMPUR, 8, JALAN BUKIT PANTAI, KUALA LUMPUR, 59100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6016-2624602,25/09/2025,24/09/2028,BeW0625018-0/1
63,WP KUALA LUMPUR & PUTRAJAYA,FATT KEE ROAST DUCK & CHICKEN RESTAURANT SDN. BHD.,"GROUND FLOOR, CENTRAL MARKET, 73, JALAN BENTENG, CITY CENTRE, 50050 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR","STALL NO 6, MAKAN HALL LOT G08 GROUND FLOOR CENTRAL MARKET, JALAN HANG KASTURI, KUALA LUMPUR, 50050 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6018-2204056,25/09/2025,24/09/2028,BeW0425029-0/1
64,WP KUALA LUMPUR & PUTRAJAYA,TIC FOOD VENTURES,"NO 60, JALAN BUKIT IDAMAN 1, TAMAN BUKIT IDAMAN, BATU CAVES, 68100 GOMBAK, SELANGOR","LG FLOOR, KOMUNE LIVING & WELLNESS, STALL 5 UNIT LG-08, LOWER GROUND, 21, JALAN TASIK PERMAISURI 2, BANDAR TUN RAZAK, BANDAR TUN RAZAK, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-23280082,25/09/2025,24/09/2028,BeW0825040-0/1
65,WP KUALA LUMPUR & PUTRAJAYA,CHRISNA JENIO SDN BHD,"NO 11, JALAN 4/91A, TAMAN SHAMELIN PERKASA, KUALA LUMPUR, 56100 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","KIOSK K7, BLOCK A, BELOW ESCALATOR, GROUND FLOOR, PANTAI HOSPITAL KUALA LUMPUR, NO.8, JALAN BUKIT PANTAI, KUALA LUMPUR, 59100 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-6369594,25/09/2025,24/09/2028,BeW0525078-0/1
66,WP KUALA LUMPUR & PUTRAJAYA,RESTORAN INDIA GATE (SEREMBAN) SDN. BHD.,"NO 2-G JALAN PUTERI 1/5 BANDAR PUTERI 47100 PUCHONG SELANGOR, BANDAR PUTERI,
47100 PETALING, SELANGOR","NO 20-G, JALAN 13/48A, SENTUL RAYA BOULEVARD, JALAN SENTUL, KUALA LUMPUR, 51000 KEPONG, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6019-4081558,25/09/2025,24/09/2028,BeB0525057-0/1
67,WP KUALA LUMPUR & PUTRAJAYA,SELERA DUTA,"NO.28 MEDAN SELERA DUTA, KOMPLEKS KERAJAAN, JALAN DUTA, KUALA LUMPUR, 50592 KEPONG, WILAYAH PERSEKUTUAN
KUALA LUMPUR","NO.46 MEDAN SELERA DUTA, KOMPLEKS KERAJAAN, JALAN DUTA, KUALA LUMPUR, 50592 KEPONG, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6018-2281076,25/09/2025,24/09/2028,BeW0825004-0/1
68,WP KUALA LUMPUR & PUTRAJAYA,KOPI KENANGAN SDN. BHD.,"UNIT 1302, LEVEL 13, UPTOWN 2, NO.2, JALAN SS21/37, DAMANSARA UPTOWN, PETALING JAYA, 47400 PETALING, SELANGOR","LOT LG.09, LOWER GROUND FLOOR, NU SENTRAL SHOPPING COMPLEX, NO. 201, JALAN TUN SAMBANTHAN, BRICKFIELDS, KUALA LUMPUR, 50470 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-3381612,25/09/2025,24/09/2028,BeW0625073-0/1
69,WP KUALA LUMPUR & PUTRAJAYA,MCLEAN GREEN VEGETARIAN SOLUTION,"A-12-05 LUMAYAN APARTMENT, JLN TASIK PERMAISURI 2, BDR TASIK PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR","NO 3 LUCKY LUCK FOODSTORE, KOMUNE LIVING & WELLNESS, JALAN TASIK PERMAISURI, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6011-10913904,25/09/2025,24/09/2028,BeW0825057-0/1
70,WP KUALA LUMPUR & PUTRAJAYA,GRAND CENTRAL ENTERPRISES BHD,"HOTEL GRAND CONTINENTAL KUALA LUMPUR, JALAN BELIA / JALAN RAJA LAUT, KUALA LUMPUR, 50350 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR","HOTEL GRAND CONTINENTAL, JALAN BELIA, JALAN RAYA LAUT, KUALA LUMPUR, 50350 LEMBAH PANTAI, WILAYAH PERSEKUTUAN
KUALA LUMPUR",hgckl@ghihotels.c om.my,25/09/2025,24/09/2028,BeW0625010-0/1
71,WP KUALA LUMPUR & PUTRAJAYA,THE MATZIP SDN. BHD.,"A-28-1, ANGGUN LUMAYAN, NO.18, JALAN TASIK PERMAISURI 1, BANDAR TUN RAZAK, KUALA LUMPUR, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR","LG FLOOR, KOMUNE LIVING & WELLNESS, 21, JALAN TASIK PERMAISURI 2, BANDAR TUN RAZAK, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6011-36273345,25/09/2025,24/09/2028,BeW0825048-0/1
72,WP KUALA LUMPUR & PUTRAJAYA,HAJRIS F&B SDN. BHD.,"6-2 JALAN DWITASIK, DATARAN DWITASIK, BANDAR SRI PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR","75, JALAN TAMAN, 4, TAMAN MELATI UTAMA, KUALA LUMPUR, 53100 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6016-6202088,25/09/2025,24/09/2028,BeW1024045-0/1
73,"WP KUALA LUMPUR &
PUTRAJAYA",KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA,
47600 PETALING, SELANGOR","G-004, DATARAN PUTRA, PRECINT 1, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6016-5266848,25/09/2025,24/09/2028,BeB0724067-0/1
74,WP KUALA LUMPUR & PUTRAJAYA,ALLSTAR ODYSSEY SDN BHD,"NO.2, LORONG TAMBUN PERMAI 3, TAMAN TAMBUN PERMAI, SIMPANG AMPAT, 14100 SEBERANG PERAI SELATAN, PULAU PINANG","117, JALAN PUDU, KUALA LUMPUR, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",parthiban.tegaraju @shbb.swissgarde n.com,03/09/2025,02/09/2028,BeW0525025-0/1
75,WP KUALA LUMPUR & PUTRAJAYA,EDARAN R & A ENTERPRISE,"NO. 13, JALAN BERLIAN 2, TAMAN BERLIAN, DENGKIL, 43800 SEPANG, SELANGOR","LOT GERAI GI04, MEDAN SELERA PRESINT 9, JALAN P9, PRESINT 9, PUTRAJAYA, 62500 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6016-6670584,03/09/2025,02/09/2028,BeB0525046-0/1
76,WP KUALA LUMPUR & PUTRAJAYA,FOOD PARCEL SDN BHD,"5-2, ARAS 5, PARKIR BERTINGKAT BUKIT AMAN, NO.1, JALAN TANGLIN, TAMAN BOTANI PERDANA, KUALA LUMPUR, 50480 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR","TAMAN SERI EMPANGAN, LEBUH GEMILANG, PRESINT 5, PUTRAJAYA, 62200 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-67435355,03/09/2025,02/09/2028,BeW0625006-0/1
77,WP KUALA LUMPUR & PUTRAJAYA,NHR UNITED RESOURCES,"A-8-9, TIARA HATAMAS, JALAN HATAMAS UTAMA, BATU 9, CHERAS, 43200 HULU LANGAT, SELANGOR","KAFETARIA RAMPAI SARI, KOMPLEKS PERBADANAN PUTRAJAYA, 24, PERSIARAN PERDANA PRECINT 3, 62675 PUTRAJAYA,
WILAYAH PERSEKUTUAN KUALA LUMPUR",6019-2227872,03/09/2025,02/09/2028,BeW0625004-0/1
78,"WP KUALA LUMPUR &
PUTRAJAYA",PANDAN SARI SINAR ENTERPRISE,"LOT 2810 NO 1 BATU 6/12, KAMPUNG CHANGKAT, GOMBAK, 53100 TITIWANGSA,
WILAYAH PERSEKUTUAN KUALA LUMPUR","JALAN SULTAN YAHYA PETRA, KUALA LUMPUR, 54100 TITIWANGSA, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6017-7556124,03/09/2025,02/09/2028,BeW0725085-0/1
79,"WP KUALA LUMPUR &
PUTRAJAYA",SHAHIFUL AFZAN BIN MUDA ( WALEED CAFE ),"KIOS UMK KO3, MEDAN SELERA PRESINT 9, JALAN P9, PRESINT 9, 62250 PUTRAJAYA,
WILAYAH PERSEKUTUAN KUALA LUMPUR","KIOS UMK K03, MEDAN SELERA PRESINT 9, JALAN P9E, PRESINT 9, 62250 PUTRAJAYA,
WILAYAH PERSEKUTUAN KUALA LUMPUR",6014-5023489,03/09/2025,02/09/2028,BeW0525050-0/1
80,"WP KUALA
LUMPUR & PUTRAJAYA",RFF WORLD VENTURES,"103 JALAN SEPAH PUTERI 5/19., KOTA
DAMANSARA, PETALING JAYA, 47810 PETALING, SELANGOR","JALAN 48/70A, DESA SERI HARTAMAS,
WILAYAH PERSEKUTUAN, 50480 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-2446744,03/09/2025,02/09/2028,BeW0725028-0/1
81,"WP KUALA LUMPUR &
PUTRAJAYA",EDEN CATERING SDN. BHD.,"ARAS 15, AMCORP TOWER, 18, JALAN PERSIARAN BARAT, PJS 52, PETALING JAYA,
46200 PETALING, SELANGOR","SASANA KIJANG, 2, JALAN DATO' ONN, KUALA LUMPUR, 50480 KEPONG, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6011-23667336,03/09/2025,02/09/2028,BeW0625046-0/1
82,"WP KUALA LUMPUR &
PUTRAJAYA",EDEN CATERING SDN. BHD.,"ARAS 15, AMCORP TOWER, 18, JALAN PERSIARAN BARAT, PJS 52, PETALING JAYA,
46200 PETALING, SELANGOR","2, JALAN BERJASA, KUALA LUMPUR, 50480 KEPONG, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6011-23667336,03/09/2025,02/09/2028,BeW0625049-0/1
83,WP KUALA LUMPUR & PUTRAJAYA,UTM HOLDINGS SDN BHD,"THE SAGE @ SIXTH, LEVEL 6, TOWER 3, RESIDENSI UTMKL, NO. 8, JALAN MAKTAB, KUALA LUMPUR, 54000 TITIWANGSA,
WILAYAH PERSEKUTUAN KUALA LUMPUR","THE SAGE @ SIXTH TOWER 3, RESIDENSI UTMKL, NO. 8, JALAN MAKTAB, KUALA LUMPUR, 54000 TITIWANGSA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6012-3050793,03/09/2025,02/09/2028,BeW0525075-0/1
84,"WP KUALA
LUMPUR & PUTRAJAYA",HADA GEMILANG SDN BHD,"LOT 1527, TAMAN SRI TANJONG, JALAN LONG YUNUS, 15200 KOTA BHARU, KELANTAN","KAMPUNG BATU MUDA, 51100 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",nik4fifah@gmail.c om,03/09/2025,02/09/2028,BeW0825006-0/1
85,"WP KUALA LUMPUR &
PUTRAJAYA",FN JUICYLIOUS ENTERPRISE,"BLOK A-T02-U02, FASA 5R4, PRESINT 5, PUTRAJAYA, 62200 PUTRAJAYA, WILAYAH
PERSEKUTUAN KUALA LUMPUR","KIOSK 01 MEDAN SELERA PRESINT 9, JALAN P9E, PRESINT 9, 62250 PUTRAJAYA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-6206285,03/09/2025,02/09/2028,BeW0525040-0/1
86,WP KUALA LUMPUR & PUTRAJAYA,D SYAIR KATERING,"NO.5, JALAN 3/5, TAMAN PUCHONG INTAN, PUCHONG, 47100, SELANGOR","SEKOLAH KEBANGSAAN PUTRAJAYA PRESINT 9 (2), SEKOLAH BERPRESTASI TINGGI, JALAN P9A, PRESINT 9, PUTRAJAYA, 62250 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-6688605,03/09/2025,02/09/2028,BeW0825024-0/1
87,WP KUALA LUMPUR & PUTRAJAYA,DUBUYO SDN BHD,"LOT 3 & 3A, LORONG TEKNOLOGI A, TAMAN SAINS SELANGOR 1, KOTA DAMANSARA, PETALING JAYA, SELANGOR, PETALING JAYA, 47810 PETALING, SELANGOR","LOT P05, PLAZA LEVEL, ALAMANDA PUTRAJAYA SHOPPING CENTRE, JALAN ALAMANDA, PRECINCT 1, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6012-2005268,03/09/2025,02/09/2028,BeW0625054-0/1
88,"WP KUALA
LUMPUR & PUTRAJAYA",EDEN CATERING SDN. BHD.,"ARAS 15, AMCORP TOWER, 18, JALAN
PERSIARAN BARAT, PJS 52, PETALING JAYA, 46200 PETALING, SELANGOR","SASANA KIJANG, 2, JALAN DATO' ONN, KUALA
LUMPUR, 50480 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-23667336,03/09/2025,02/09/2028,BeW0625047-0/1
89,WP KUALA LUMPUR & PUTRAJAYA,RSM KASTURI ENTERPRISE,"LOT 5959, BATU 30, KAMPUNG SEMARANG, DENGKIL, 43800 SEPANG, SELANGOR","KAFETARIA BLOK E2 ARAS 2, KEMENTERIAN PENDIDIKAN MALAYSIA, KOMPLEKS KERAJAAN PARCEL E, PUTRAJAYA, 62604 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-7085453,03/09/2025,02/09/2028,BeW0425035-0/1
90,"WP KUALA
LUMPUR & PUTRAJAYA",AMIR CATERER,"BLOK 8A3-08-04, FASA 8, PRESINT 9,
PUTRAJAYA, 62250 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR","KAFETERIA DI BLOK E12, KOMPLEKS E, PRESINT
1, 62510 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6019-3912820,03/09/2025,02/09/2028,BeW0425016-0/1
91,WP KUALA LUMPUR & PUTRAJAYA,ANITA MUSTAPA ENTERPRISE,"NO 180 LORONG KERAMAT 15, KG. DATO KERAMAT, 54000 KUALA LUMPUR, KUALA LUMPUR, 54000 TITIWANGSA, WILAYAH
PERSEKUTUAN KUALA LUMPUR","SEKOLAH KEBANGSAAN KEMENTAH, JALAN LAKSAMANA, KEM KEMENTAH, KUALA LUMPUR, 54200 TITIWANGSA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-6808021,03/09/2025,02/09/2028,BeW0225013-0/1
92,WP KUALA LUMPUR & PUTRAJAYA,ADNI FOOD AND DRINKS SDN BHD,"LOT 345, KAMPUNG SABAK, KOTA BHARU, 16100 KOTA BHARU, KELANTAN","26, JALAN TUN MOHD FUAD 1, TAMAN TUN DR ISMAIL, KUALA LUMPUR, 60000 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",6016-9249466,03/09/2025,02/09/2028,BeW0825008-0/1
93,WP KUALA LUMPUR & PUTRAJAYA,EDEN CATERING SDN. BHD.,"ARAS 15, AMCORP TOWER, 18, JALAN PERSIARAN BARAT, PJS 52, PETALING JAYA, 46200 PETALING, SELANGOR","BANGUNAN BANK NEGARA MALAYSIA, JALAN DATO' ONN, KUALA LUMPUR, 50480 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-23667336,03/09/2025,02/09/2028,BeW0625048-0/1
94,WP KUALA LUMPUR & PUTRAJAYA,DOME CAFE SDN BHD,"LOT 28, JALAN 13/91, TAMAN SHAMELIN PERKASA, KUALA LUMPUR, 56100 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT G20, TINGKAT BAWAH, THE INTERMARK, 182, JALAN TUN RAZAK, KUALA LUMPUR,
50400 TITIWANGSA, WILAYAH PERSEKUTUAN
KUALA LUMPUR",fazlan@domecafe. com.my,03/09/2025,02/09/2028,BeW1224018-0/1
95,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","KIOSK NO. 3, KOMPLEKS PERTAMA, JALAN TUANKU ABDUL RAHMAN, 50100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6017-7928062,02/09/2025,01/09/2028,BeW0325029-0/1
96,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","RETAIL 1, B-0-1, BLOCK B, GROUND FLOOR, BINTANG FAIRLANE RESIDENCE, NO.23 JALAN PADANG WALTER GRANIER, OFF JALAN IMBI BUKIT BINTANG, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6017-4767026,02/09/2025,01/09/2028,BeW0325042-0/1
97,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","MENARA PEARL POINT 2 NO. 2A, LOT F-25 JALAN SEPADU OFF, JALAN KLANG LAMA, 40150 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6011-12987867,02/09/2025,01/09/2028,BeW0325015-0/1
98,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","PARCEL NO. G-K-01, LEVEL GROUND FLOOR, PINNACLE SRI PETALING MALL, NO.1 JALAN RADIN ANUM 1, SRI PETALING, 57000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6017-4767026,02/09/2025,01/09/2028,BeW0325034-0/1
99,"WP KUALA
LUMPUR & PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","38 MENARA TECHNIP, JALAN INAI OFF, JALAN
IMBI IMBI, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6017-7928062,02/09/2025,01/09/2028,BeW0325025-0/1
100,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. 11-0-10, TINGKAT BAWAH JALAN 4/109F, TAMAN DANAU DESA, KUALA LUMPUR, 58100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6012-4691629,02/09/2025,01/09/2028,BeW0325002-0/1
101,WP KUALA LUMPUR & PUTRAJAYA,SOMETHING NEUTRAL SDN. BHD.,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","22 RESIDENSI PARK BUKIT JALIL, BUKIT JALIL CITY PERSIARAN JALIL UTAMA BUKIT JALIL, KUALA LUMPUR, 57000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-12978767,02/09/2025,01/09/2028,BeW0325090-0/1
102,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT G2K-03A, GROUND FLOOR 2, KL EAST MALL 823, JALAN LINGKARAN TENGAH 2, TIMUR KL EAST, KUALA LUMPUR, 53100 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6012-4691629,02/09/2025,01/09/2028,BeW0325004-0/1
103,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT 36-J, JALAN RADIN ANUM, SERI PETALING, KUALA LUMPUR, 57000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-4691629,02/09/2025,01/09/2028,BeW0325005-0/1
104,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","TINGKAT BAWAH, PANGSAPURI SERVIS (SUITE) BINJAI 8, LORONG BINJAI OFF JALAN BINJAI, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-4691629,02/09/2025,01/09/2028,BeW0325001-0/1
105,"WP KUALA LUMPUR &
PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","29, JALAN 1/116B KUCHAI ENTREPRENEURS PARK, 58200 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6017-7928062,02/09/2025,01/09/2028,BeW0325024-0/1
106,"WP KUALA
LUMPUR & PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","20, JALIL LINK, JALAN JALIL JAYA 2, BUKIT JALIL,
57000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6017-7928062,02/09/2025,01/09/2028,BeW0325023-0/1
107,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT G.15 & G.16. KL GATEWAY MALL. 2, JALAN KERINCHI, KUALA LUMPUR, 59200 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6011-2978767,02/09/2025,01/09/2028,BeW0325012-0/1
108,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","GF03 SEMUA HOUSE, CITY CENTRE, JALAN BUNUS 6 OFF JALAN MASJID INDIA, 50100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6017-7928062,02/09/2025,01/09/2028,BeW0325106-0/1
